[Header]
Application Name	LabSolutions
0,36783	-253
0,36850	-254
0,36917	-254
0,36983	-254
0,37050	-254
0,37117	-254
0,37183	-255
0,37250	-255
0,37317	-255
0,37383	-254
0,37450	-254
0,37517	-254
0,37583	-254
0,37650	-254
0,37717	-253
0,37783	-253
0,37850	-253
0,37917	-253
0,37983	-252
0,38050	-252
0,38117	-252
0,38183	-252
0,38250	-252
0,38317	-252
0,38383	-252
0,38450	-252
0,38517	-252
0,38583	-252
0,38650	-252
0,38717	-252
0,38783	-253
0,38850	-253
0,38917	-253
0,38983	-253
0,39050	-253
0,39117	-253
0,39183	-253
0,39250	-254
0,39317	-254
0,39383	-254
0,39450	-254
0,39517	-254
0,39583	-254
0,39650	-255
0,39717	-255
0,39783	-255
0,39850	-255
0,39917	-255
0,39983	-256
0,40050	-256
0,40117	-256
0,40183	-256
0,40250	-256
0,40317	-256
0,40383	-256
0,40450	-256
0,40517	-256
0,40583	-256
0,40650	-256
0,40717	-256
0,40783	-256
0,40850	-256
0,40917	-256
0,40983	-257
0,41050	-257
0,41117	-257
0,41183	-257
0,41250	-257
0,41317	-257
0,41383	-257
0,41450	-257
0,41517	-258
0,41583	-258
0,41650	-258
0,41717	-258
0,41783	-258
0,41850	-259
0,41917	-259
0,41983	-259
0,42050	-259
0,42117	-259
0,42183	-260
0,42250	-260
0,42317	-260
0,42383	-260
0,42450	-260
0,42517	-260
0,42583	-260
0,42650	-260
0,42717	-260
0,42783	-260
0,42850	-260
0,42917	-260
0,42983	-261
0,43050	-261
0,43117	-261
0,43183	-261
0,43250	-261
0,43317	-261
0,43383	-261
0,43450	-261
0,43517	-261
0,43583	-261
0,43650	-261
0,43717	-261
0,43783	-261
0,43850	-262
0,43917	-262
0,43983	-262
0,44050	-262
0,44117	-263
0,44183	-263
0,44250	-263
0,44317	-263
0,44383	-263
0,44450	-263
0,44517	-264
0,44583	-264
0,44650	-264
0,44717	-264
0,44783	-264
0,44850	-264
0,44917	-265
0,44983	-265
0,45050	-265
0,45117	-265
0,45183	-265
0,45250	-265
0,45317	-265
0,45383	-265
0,45450	-265
0,45517	-265
0,45583	-265
0,45650	-265
0,45717	-265
0,45783	-265
0,45850	-265
0,45917	-265
0,45983	-265
0,46050	-265
0,46117	-265
0,46183	-265
0,46250	-265
0,46317	-265
0,46383	-265
0,46450	-265
0,46517	-265
0,46583	-265
0,46650	-264
0,46717	-264
0,46783	-264
0,46850	-264
0,46917	-264
0,46983	-264
0,47050	-263
0,47117	-263
0,47183	-264
0,47250	-264
0,47317	-264
0,47383	-264
0,47450	-265
0,47517	-265
0,47583	-265
0,47650	-265
0,47717	-265
0,47783	-265
0,47850	-265
0,47917	-265
0,47983	-265
0,48050	-265
0,48117	-265
0,48183	-265
0,48250	-265
0,48317	-265
0,48383	-265
0,48450	-266
0,48517	-266
0,48583	-266
0,48650	-266
0,48717	-267
0,48783	-267
0,48850	-267
0,48917	-267
0,48983	-267
0,49050	-267
0,49117	-267
0,49183	-267
0,49250	-267
0,49317	-267
0,49383	-267
0,49450	-267
0,49517	-267
0,49583	-266
0,49650	-266
0,49717	-266
0,49783	-266
0,49850	-265
0,49917	-265
0,49983	-265
0,50050	-265
0,50117	-265
0,50183	-265
0,50250	-265
0,50317	-265
0,50383	-265
0,50450	-265
0,50517	-265
0,50583	-266
0,50650	-266
0,50717	-266
0,50783	-266
0,50850	-266
0,50917	-266
0,50983	-266
0,51050	-266
0,51117	-266
0,51183	-266
0,51250	-266
0,51317	-266
0,51383	-266
0,51450	-266
0,51517	-266
0,51583	-266
0,51650	-266
0,51717	-266
0,51783	-266
0,51850	-266
0,51917	-267
0,51983	-267
0,52050	-267
0,52117	-267
0,52183	-267
0,52250	-267
0,52317	-268
0,52383	-268
0,52450	-268
0,52517	-269
0,52583	-269
0,52650	-269
0,52717	-270
0,52783	-270
0,52850	-270
0,52917	-270
0,52983	-270
0,53050	-270
0,53117	-270
0,53183	-270
0,53250	-270
0,53317	-270
0,53383	-270
0,53450	-270
0,53517	-270
0,53583	-269
0,53650	-269
0,53717	-269
0,53783	-269
0,53850	-269
0,53917	-269
0,53983	-269
0,54050	-269
0,54117	-269
0,54183	-269
0,54250	-269
0,54317	-269
0,54383	-269
0,54450	-269
0,54517	-269
0,54583	-269
0,54650	-269
0,54717	-269
0,54783	-269
0,54850	-270
0,54917	-270
0,54983	-270
0,55050	-270
0,55117	-270
0,55183	-271
0,55250	-271
0,55317	-271
0,55383	-271
0,55450	-271
0,55517	-271
0,55583	-271
0,55650	-271
0,55717	-271
0,55783	-271
0,55850	-271
0,55917	-271
0,55983	-272
0,56050	-272
0,56117	-272
0,56183	-273
0,56250	-273
0,56317	-273
0,56383	-273
0,56450	-273
0,56517	-273
0,56583	-273
0,56650	-274
0,56717	-274
0,56783	-274
0,56850	-274
0,56917	-274
0,56983	-274
0,57050	-274
0,57117	-274
0,57183	-274
0,57250	-274
0,57317	-275
0,57383	-275
0,57450	-275
0,57517	-275
0,57583	-275
0,57650	-275
0,57717	-275
0,57783	-275
0,57850	-275
0,57917	-275
0,57983	-275
0,58050	-275
0,58117	-275
0,58183	-275
0,58250	-275
0,58317	-274
0,58383	-274
0,58450	-274
0,58517	-274
0,58583	-274
0,58650	-274
0,58717	-273
0,58783	-273
0,58850	-273
0,58917	-273
0,58983	-272
0,59050	-272
0,59117	-272
0,59183	-272
0,59250	-272
0,59317	-272
0,59383	-272
0,59450	-272
0,59517	-272
0,59583	-272
0,59650	-273
0,59717	-273
0,59783	-273
0,59850	-273
0,59917	-273
0,59983	-273
0,60050	-273
0,60117	-274
0,60183	-274
0,60250	-274
0,60317	-274
0,60383	-274
0,60450	-274
0,60517	-274
0,60583	-274
0,60650	-274
0,60717	-274
0,60783	-274
0,60850	-274
0,60917	-274
0,60983	-274
0,61050	-274
0,61117	-273
0,61183	-273
0,61250	-273
0,61317	-273
0,61383	-273
0,61450	-272
0,61517	-272
0,61583	-272
0,61650	-272
0,61717	-272
0,61783	-271
0,61850	-271
0,61917	-272
0,61983	-272
0,62050	-272
0,62117	-272
0,62183	-272
0,62250	-272
0,62317	-273
0,62383	-273
0,62450	-273
0,62517	-274
0,62583	-274
0,62650	-275
0,62717	-275
0,62783	-275
0,62850	-276
0,62917	-276
0,62983	-276
0,63050	-276
0,63117	-276
0,63183	-277
0,63250	-277
0,63317	-277
0,63383	-277
0,63450	-277
0,63517	-277
0,63583	-277
0,63650	-277
0,63717	-277
0,63783	-277
0,63850	-277
0,63917	-276
0,63983	-276
0,64050	-276
0,64117	-276
0,64183	-277
0,64250	-277
0,64317	-277
0,64383	-278
0,64450	-278
0,64517	-278
0,64583	-278
0,64650	-279
0,64717	-279
0,64783	-279
0,64850	-279
0,64917	-279
0,64983	-279
0,65050	-279
0,65117	-279
0,65183	-279
0,65250	-279
0,65317	-279
0,65383	-280
0,65450	-280
0,65517	-280
0,65583	-280
0,65650	-281
0,65717	-281
0,65783	-281
0,65850	-281
0,65917	-281
0,65983	-281
0,66050	-281
0,66117	-281
0,66183	-281
0,66250	-281
0,66317	-281
0,66383	-281
0,66450	-281
0,66517	-281
0,66583	-281
0,66650	-281
0,66717	-281
0,66783	-281
0,66850	-280
0,66917	-280
0,66983	-280
0,67050	-280
0,67117	-280
0,67183	-280
0,67250	-280
0,67317	-280
0,67383	-280
0,67450	-280
0,67517	-280
0,67583	-280
0,67650	-280
0,67717	-280
0,67783	-280
0,67850	-280
0,67917	-281
0,67983	-281
0,68050	-281
0,68117	-281
0,68183	-281
0,68250	-281
0,68317	-281
0,68383	-281
0,68450	-281
0,68517	-281
0,68583	-281
0,68650	-281
0,68717	-280
0,68783	-280
0,68850	-280
0,68917	-280
0,68983	-280
0,69050	-280
0,69117	-279
0,69183	-279
0,69250	-279
0,69317	-279
0,69383	-279
0,69450	-279
0,69517	-279
0,69583	-279
0,69650	-279
0,69717	-279
0,69783	-279
0,69850	-279
0,69917	-280
0,69983	-280
0,70050	-280
0,70117	-280
0,70183	-280
0,70250	-280
0,70317	-280
0,70383	-280
0,70450	-279
0,70517	-279
0,70583	-279
0,70650	-279
0,70717	-279
0,70783	-279
0,70850	-279
0,70917	-279
0,70983	-279
0,71050	-279
0,71117	-279
0,71183	-279
0,71250	-279
0,71317	-279
0,71383	-279
0,71450	-279
0,71517	-279
0,71583	-279
0,71650	-280
0,71717	-280
0,71783	-280
0,71850	-281
0,71917	-281
0,71983	-281
0,72050	-281
0,72117	-282
0,72183	-282
0,72250	-282
0,72317	-283
0,72383	-283
0,72450	-283
0,72517	-283
0,72583	-283
0,72650	-283
0,72717	-284
0,72783	-284
0,72850	-284
0,72917	-284
0,72983	-284
0,73050	-284
0,73117	-284
0,73183	-284
0,73250	-284
0,73317	-285
0,73383	-285
0,73450	-285
0,73517	-285
0,73583	-285
0,73650	-285
0,73717	-285
0,73783	-284
0,73850	-284
0,73917	-284
0,73983	-284
0,74050	-284
0,74117	-284
0,74183	-284
0,74250	-284
0,74317	-284
0,74383	-284
0,74450	-284
0,74517	-284
0,74583	-284
0,74650	-284
0,74717	-284
0,74783	-284
0,74850	-284
0,74917	-284
0,74983	-285
0,75050	-285
0,75117	-285
0,75183	-285
0,75250	-285
0,75317	-285
0,75383	-286
0,75450	-286
0,75517	-286
0,75583	-286
0,75650	-286
0,75717	-286
0,75783	-286
0,75850	-286
0,75917	-286
0,75983	-286
0,76050	-286
0,76117	-287
0,76183	-287
0,76250	-287
0,76317	-287
0,76383	-287
0,76450	-287
0,76517	-286
0,76583	-286
0,76650	-286
0,76717	-286
0,76783	-286
0,76850	-286
0,76917	-287
0,76983	-287
0,77050	-287
0,77117	-287
0,77183	-288
0,77250	-288
0,77317	-288
0,77383	-288
0,77450	-288
0,77517	-288
0,77583	-288
0,77650	-288
0,77717	-287
0,77783	-287
0,77850	-288
0,77917	-288
0,77983	-288
0,78050	-288
0,78117	-288
0,78183	-288
0,78250	-288
0,78317	-288
0,78383	-288
0,78450	-288
0,78517	-288
0,78583	-288
0,78650	-288
0,78717	-289
0,78783	-289
0,78850	-289
0,78917	-289
0,78983	-289
0,79050	-288
0,79117	-288
0,79183	-288
0,79250	-288
0,79317	-288
0,79383	-287
0,79450	-287
0,79517	-287
0,79583	-287
0,79650	-287
0,79717	-286
0,79783	-286
0,79850	-286
0,79917	-286
0,79983	-286
0,80050	-286
0,80117	-285
0,80183	-285
0,80250	-285
0,80317	-285
0,80383	-285
0,80450	-285
0,80517	-285
0,80583	-285
0,80650	-285
0,80717	-285
0,80783	-285
0,80850	-285
0,80917	-285
0,80983	-285
0,81050	-285
0,81117	-285
0,81183	-285
0,81250	-285
0,81317	-285
0,81383	-285
0,81450	-286
0,81517	-286
0,81583	-286
